ds,y,yhat
2024-12-18,36455.11,29647.699506580506
2024-12-19,27448.510000000002,23372.32748452727
2024-12-20,38983.65,37194.750566372764
2024-12-21,47518.44,56258.187999860296
2024-12-22,14641.27,16892.66340248249
2024-12-23,69136.62,30075.115704419375
2024-12-24,19011.39,24674.032350029076
2024-12-26,73563.27,22136.195108175736
2024-12-27,31211.75,35974.78485688186
2024-12-28,68463.74,55077.599659972446
2024-12-29,36715.83,15775.838558968266
2024-12-30,49202.36,29046.840979039822
2024-12-31,66435.17,23758.683299959084
2025-01-01,5831.6,27637.438871761897
2025-01-02,12069.52,21514.07775890938
2025-01-03,40776.84,35528.11699157112
2025-01-04,62784.46,54821.14772441648
2025-01-05,55282.88,15720.232969135694
2025-01-06,22718.29,29198.06666534144
2025-01-07,30484.800000000003,24117.696357844256
2025-01-08,43193.23,28199.92359517199
2025-01-09,48633.45,22270.354325970402
2025-01-10,24085.309999999998,36463.20571443358
2025-01-11,33840.799999999996,55914.99119986675
2025-01-12,22817.33,16948.072806145236
2025-01-13,31268.66,30530.966851544108
2025-01-14,13026.539999999999,25523.20090812764
2025-01-15,38228.72,29642.832021858732
2025-01-16,32157.629999999997,23713.59481021548
2025-01-17,41856.11,37868.78275489398
2025-01-18,47187.11,57244.982056251334
2025-01-19,50869.28,18165.645322698627
2025-01-20,39496.770000000004,31601.39029500019
2025-01-21,26563.12,26414.821310073603
2025-01-22,16226.29,30327.98419954441
2025-01-23,39965.56,24169.42472384499
2025-01-24,27849.13,38077.95611461037
2025-01-25,80923.73,57196.2580492185
2025-01-26,34225.12,17854.297916060284
2025-01-27,21595.33,31029.46367466438
2025-01-28,18862.09,25591.21052963034
2025-01-29,20794.010000000002,29268.336905510063
2025-01-30,14622.100000000002,22895.86475827278
2025-01-31,32713.65,36618.63472791055
2025-02-01,57496.14,55584.74325626208
2025-02-02,26321.05,16128.817037571207
2025-02-03,35973.32,29232.018219667065
2025-02-04,42913.899999999994,23766.58615122974
2025-02-05,14821.67,27463.03411617718
2025-02-06,25119.99,21156.97832416282
2025-02-07,30163.37,34992.71112248516
2025-02-08,65038.36,54116.64618349452
2025-02-09,31418.68,14860.630835789972
2025-02-10,13494.949999999999,28202.017914763073
2025-02-11,53888.090000000004,23008.301089811568
2025-02-12,28765.730000000003,27004.429515563133
2025-02-13,19058.18,21019.775811324114
2025-02-14,36332.87,35191.86548465661
2025-02-15,114379.0,54659.99123849171
2025-02-16,33592.090000000004,15748.702668426453
2025-02-17,43381.0,29428.058851661357
2025-02-18,14411.27,24558.442846158796
2025-02-19,5720.17,28858.049072481794
2025-02-20,47903.69,23150.01292492821
2025-02-21,34878.61,37566.28641119203
2025-02-22,71247.19,57241.37941084344
2025-02-23,11539.6,18495.95377961754
2025-02-24,17249.21,32297.15520011476
2025-02-25,5244.18,27503.47991755899
2025-02-26,14455.73,31832.286255093495
2025-02-27,33228.9,26106.91998159342
2025-02-28,14219.359999999999,40460.557879840584
2025-03-01,48758.49,60029.89044237825
2025-03-02,38661.92,21138.633017123946
2025-03-03,42281.119999999995,34757.75307170414
2025-03-04,29111.350000000002,29750.214088305453
2025-03-05,40516.11,33838.34984197857
2025-03-06,35406.350000000006,27850.84237425085
2025-03-07,43118.64,41926.4124869073
2025-03-08,44831.36,61207.34827867783
2025-03-09,43173.16,22022.865606974512
2025-03-10,58652.04,35349.19254289869
2025-03-11,7145.83,30054.182435111838
2025-03-12,35135.96,33864.573021220494
2025-03-13,49535.01,27612.86805839087
2025-03-14,22718.95,41440.95284281677
2025-03-15,147815.75,60493.570990907814
2025-03-16,31131.36,21101.657477323795
2025-03-17,9734.2,34242.42033580448
